fecha_caso,Pruebas_PCR,Casos_Salud,RT,Ocupacion_Camas,Ocupacion_UCI,Ocupacion_Crematorios,Temp_Min,Temp_Max,Pasajeros_TM,Vuelos,Trafic,Hurtos,Lesiones_Personales,TRM,TIP
2020-03-01,0,0,1.18385088678689,0,0,11.5,10,21.17,402450,0,0,39,116,3539.86,4.25
2020-03-02,0,0,2.401324229,0,0,9,9.17,21.6,935858,0,0,44,59,3539.86,4.25
2020-03-03,0,0,1.704884757,0,0,8,9.3,22.11,1128778,0,0,71,57,3512.17,4.25
2020-03-04,0,0,1.862228446,0,0,15,9.57,22.29,1103128,0,0,66,66,3455.56,4.25
2020-03-05,0,0,1.988661135,0,0,12.5,6.23,23.37,1086023,0,0,71,61,3458.45,4.25
2020-03-06,0,0,1.815577427,0,0,10.5,6.9,22.46,991114,0,0,39,92,3522.41,4.25
2020-03-07,0,0,1.85123679,0,0,8,8.13,21.64,814264,0,0,44,100,3584.58,4.25
2020-03-08,0,0,1.911562357,0,0,13.5,9.6,22.4,402450,0,0,26,102,3584.58,4.25
2020-03-09,0,0,2.139527235,0,0,12,10.28,20.8,935858,0,-16.5262012438154,44,63,3584.58,4.25
2020-03-10,0,1,2.244822994,0,0,11,10.48,22.37,1128778,0,-22.6875053441305,51,80,3803.6,4.25
2020-03-11,0,0,2.289148383,0,0,9.5,10.32,21.83,1103128,0,-12.7492042358504,48,69,3780.39,4.25
2020-03-12,0,2,1.964221997,0,0,12.5,10.6,20.7,1086023,0,-23.5272270720764,62,75,3835.15,4.25
2020-03-13,0,2,1.876597514,0,0,12,11.6,21.77,991114,0,-17.3673353929381,48,65,4034.66,4.25
2020-03-14,0,3,1.825393296,0,0,9,11.32,19.35,814264,0,1.38496782939381,36,70,3941.92,4.25
2020-03-15,0,4,1.66200341,0,0,8,10.6,20.23,402450,0,-42.160859025245,38,99,3941.92,4.25
2020-03-16,0,7,1.446643067,0,0,9.5,10.1,20.83,3020938,0,-28.7677459028278,47,72,3941.92,4.25
2020-03-17,0,6,1.258121777,0,0,14.5,7.4,21.89,2637563,0,-36.2111845073928,48,50,4099.93,4.25
2020-03-18,0,5,1.098546188,0,0,10.5,8.87,21.12,2382931,0,-39.9803429640294,57,73,4044.55,4.25
2020-03-19,0,8,1.037199123,0,0,10,9,20.87,2223115,0,-37.9271476004014,57,52,4128.38,4.25
2020-03-20,0,5,1.024581207,0,0,13,9.4,20.33,511354,0,-82.8526338725277,11,14,4153.91,4.25
2020-03-21,0,5,0.976473508,0,0,11,9.33,18.6,378217,0,-94.9308958441809,7,24,4079.96,4.25
2020-03-22,0,3,0.934621775,0,0,11.5,7.4,19.87,255430,0,-95.2758465533774,11,16,4079.96,4.25
2020-03-23,0,7,0.906554451,0,0,15.5,7.93,18.1,302413,0,-96.5172634148421,7,6,4079.96,4.25
2020-03-24,0,5,0.912767046,0,0,14.5,8.6,17.8,1082000,0,-95.1291713936968,19,16,4079.96,4.25
2020-03-25,0,8,0.889548479,0,0,13.5,8.47,19.73,624302,28,-95.5432134876305,21,16,4104.9,4.25
2020-03-26,0,13,0.995040533,0,0,22,9.73,20.27,616422,28,-95.5414325670006,13,12,4086.34,4.25
2020-03-27,0,21,0.972005161,0,0,12,7.47,20.4,595602,21,-95.7103108529996,6,17,3995.83,4.25
2020-03-28,0,10,0.957008901,0,0,11,9.8,19.6,463284,26,-93.1623156338077,10,13,4042.8,4.25
2020-03-29,0,12,0.960081228,0,0,12,8.33,20.4,242311,45,-94.4665593325478,7,29,4042.8,4.25
2020-03-30,0,10,0.956839759,0,0,12,8.87,18.07,641943,29,-94.8350278382685,15,23,4042.8,3.75
2020-03-31,0,3,1.020182407,0,0,15,9.73,18,625313,28,-95.7632435692876,12,20,4064.81,3.75
2020-04-01,0,22,1.024165172,0,0,18.5,9.13,17.67,668539,39,-94.7623512798882,10,12,4054.54,3.75
2020-04-02,0,11,1.073523821,0,0,16,9.27,19.8,657300,58,-94.3568010266119,18,28,4081.06,3.75
2020-04-03,0,9,0.996518842,0,0,22,9.13,19.07,654132,45,-95.2253709367652,11,16,4065.5,3.75
2020-04-04,0,12,1.067435267,0,0,15.5,9.2,18.6,493786,34,-92.8957697072709,16,10,4008.78,3.75
2020-04-05,0,8,1.082575899,0,0,11.5,8.47,18.93,256735,36,-93.1414466457709,9,27,4008.78,3.75
2020-04-06,0,12,1.076632127,0,0,15.5,9.2,18.6,680940,24,-90.6965012126915,13,19,4008.78,3.75
2020-04-07,0,6,1.048040516,0,0,21,8.73,18,610591,47,-93.8077430243463,11,32,3978.38,3.75
2020-04-08,0,10,0.991362901,0,0.195211786,16.5,8.27,18.6,675671,40,-94.2100298002604,14,13,3910.15,3.75
2020-04-09,0,7,1.030173332,0,0.223684211,21,8.93,16.4,285240,30,-95.9725144529545,7,13,3886.79,3.75
2020-04-10,0,9,1.02925759,0,0.251677852,17.5,7.4,18.73,224445,39,-96.9950247919003,8,13,3886.79,3.75
2020-04-11,0,14,1.039059121,0,0.247906198,21.5,8.8,18.13,396985,35,-94.0866672464984,18,19,3886.79,3.75
2020-04-12,0,12,1.032465559,0,0.309027778,18,9.07,18.33,249157,35,-93.8423711606497,14,23,3886.79,3.75
2020-04-13,0,11,1.042291028,0,0.272241993,15.5,6.87,19.67,635816,28,-93.3345542894984,20,19,3886.79,3.75
2020-04-14,0,13,1.098043764,0,0.295218295,23,8.73,19.47,700872,52,-94.9631338802997,13,15,3870.31,3.75
2020-04-15,0,13,1.122398536,0,0.290740741,20,6.73,19.73,657841,40,-93.6074028493183,25,23,3858.21,3.75
2020-04-16,0,10,1.12738433,0,0.277264325,22.5,7.33,19.4,681298,66,-93.6007944904878,8,26,3920.83,3.75
2020-04-17,0,11,1.128856846,0,0.240740741,17,8.73,18,648009,52,-92.5662807192865,23,32,3942.92,3.75
2020-04-18,0,29,1.140217638,0,0.254174397,18,7.6,17.4,483085,52,-91.988308555971,15,27,3973.06,3.75
2020-04-19,0,21,1.163751395,0,0.256029685,15.5,7.6,19.87,266188,68,-93.006415597764,12,27,3973.06,3.75
2020-04-20,0,10,1.170155641,0,0.259124088,25,8.07,19.93,678199,69,-91.6229185298699,18,15,3973.06,3.75
2020-04-21,0,13,1.164092626,0,0.260948905,16,9.27,20.13,667264,68,-91.9235432125754,21,35,3967.76,3.75
2020-04-22,0,10,1.176829297,0,0.27706422,19,8.93,20.6,676004,67,-92.2599920762523,10,31,4045.01,3.75
2020-04-23,0,12,1.215180194,0,0.270609319,20.5,10,16.27,672443,70,-91.7304495779403,26,32,4037.95,3.75
2020-04-24,0,17,1.235273888,0,0.275985663,17.5,7.2,19.8,710189,77,-93.3025833661951,19,27,4020.94,3.75
2020-04-25,0,12,1.350820673,0,0.264653641,17,7.5,20,508099,81,-90.3967237127554,27,50,4039.87,3.75
2020-04-26,0,6,1.391124546,0,0.307282416,20,6,19.67,318247,51,-92.1247271638871,12,43,4039.87,3.75
2020-04-27,0,6,1.394009428,0,0.293072824,19.5,7.73,17.8,736623,55,-85.5777737839941,31,25,4039.87,3.75
2020-04-28,0,4,1.366478994,0,0.312611012,16.5,8.2,19.07,773559,56,-89.2808262076998,24,25,4039.83,3.75
2020-04-29,0,4,1.422917095,0,0.331491713,20.5,7.6,19,733746,67,-85.3666501228767,21,22,4046.04,3.75
2020-04-30,0,5,1.457763233,0,0.32228361,22,8.07,18.87,794831,47,-86.6418196363928,30,22,3983.29,3.75
2020-05-01,0,5,1.417946116,0,0.316758748,16,9.07,17.53,371939,74,-92.3903173474184,33,37,3932.72,3.75
2020-05-02,0,4,1.438520893,0,0.337016575,21.5,7.87,17.47,681702,75,-85.4304980238105,21,36,3932.72,3.75
2020-05-03,0,8,1.362570749,0,0.319926874,13,9.4,17.2,278549,55,-90.7087429324739,27,31,3932.72,3.75
2020-05-04,0,14,1.435695903,0,0.327239488,14,7.93,17.53,798976,51,-82.8581870882577,24,26,3932.72,3.25
2020-05-05,0,7,1.463300399,0,0.313059034,14,9.4,17.53,823431,60,-82.365527910331,42,30,3990.1,3.25
2020-05-06,0,4,1.460065451,0,0.332161687,16,7.93,17.87,830420,85,-83.3667689096441,18,24,3926.07,3.25
2020-05-07,0,7,1.424751326,0,0.359066427,17.5,8.47,17.2,821653,72,-78.3616966592304,35,28,3961.66,3.25
2020-05-08,0,8,1.349700576,0,0.376130199,17,7.47,17.93,879193,54,-80.8373150254215,22,35,3924.54,3.25
2020-05-09,0,9,1.341218303,0,0.330973451,17.5,9.07,17.73,628444,61,-76.0826477389489,29,39,3882.27,3.25
2020-05-10,46276,14,1.30242113,0,0.338078292,19.5,8.6,18.67,323990,57,-88.0451534986896,22,72,3882.27,3.25
2020-05-11,49698,13,1.276630885,0,0.341113106,13.5,8.2,18.6,896108,28,-74.3290730900943,24,46,3882.27,3.25
