date,result
2020-08-01,2590
2020-08-02,3542
2020-08-03,3542
2020-08-04,2590
2020-08-05,2590
2020-08-06,2590
2020-08-07,2479
2020-08-08,2590
2020-08-09,2590
2020-08-10,3542
2020-08-11,2590
2020-08-12,2590
2020-08-13,2590
2020-08-14,2590
2020-08-15,2590
2020-08-16,2590
2020-08-17,1945
2020-08-18,2008
2020-08-19,2478
2020-08-20,1945
2020-08-21,1945
2020-08-22,1954
2020-08-23,1483
2020-08-24,1945
2020-08-25,1945
2020-08-26,1945
2020-08-27,1945
2020-08-28,2008
2020-08-29,1954
2020-08-30,1945
2020-08-31,1907
