date,result
2020-08-01,649
2020-08-02,2816
2020-08-03,2076
2020-08-04,2558
2020-08-05,2558
2020-08-06,2644
2020-08-07,496
2020-08-08,368
2020-08-09,745
2020-08-10,2064
2020-08-11,1813
2020-08-12,2064
2020-08-13,2064
2020-08-14,2207
2020-08-15,2072
2020-08-16,806
2020-08-17,1020
2020-08-18,1813
2020-08-19,2064
2020-08-20,2064
2020-08-21,2207
2020-08-22,1277
2020-08-23,802
2020-08-24,2376
2020-08-25,2298
2020-08-26,2298
2020-08-27,2629
2020-08-28,2816
2020-08-29,2558
2020-08-30,1076
2020-08-31,2816
